,А,Е,Ё,И,О,У,Ы,Э,Ю,Я,Б,Б',В,В',Г,Г',Д,Д',Ж,З,З',Й,К,К',Л,Л',М,М',Н,Н',П,П',Р,Р',С,С',Т,Т',Ф,Ф',Х,Х',Ц,Ч,Ш,Щ
ХОРОШИЙ-ПЛОХОЙ,1.5,1.9,2.3,1.7,1.6,3.0,3.6,2.0,1.8,1.8,2.4,3.0,2.9,3.4,3.2,3.6,2.4,2.8,3.7,3.1,3.4,2.9,3.0,3.7,2.1,1.8,2.5,3.1,2.4,2.9,3.5,3.6,2.9,2.6,3.6,3.8,3.0,3.3,4.0,4.2,4.1,4.3,4.0,3.0,4.0,3.5
БОЛЬШОЙ-МАЛЕНЬКИЙ,1.8,2.8,2.9,3.2,1.3,2.2,1.7,1.8,3.1,2.1,2.1,3.1,2.1,3.1,2.6,3.9,2.0,3.9,2.4,2.9,3.1,3.8,3.3,4.2,2.2,3.7,2.5,3.7,2.1,3.2,3.4,4.6,2.1,3.4,3.5,4.3,3.1,4.1,2.8,4.3,3.4,4.1,3.7,3.9,3.2,3.8
НЕЖНЫЙ-ГРУБЫЙ,2.8,2.2,2.4,1.8,3.2,3.0,3.8,3.4,1.9,2.7,4.2,2.6,3.6,2.4,3.8,2.6,4.4,2.6,4.0,3.5,2.4,3.1,3.6,2.4,3.3,2.0,3.2,2.1,3.6,2.0,3.4,2.4,4.6,3.2,3.2,2.0,3.6,2.2,3.5,2.4,3.6,2.5,3.2,3.4,3.2,2.7
ЖЕНСТВЕННЫЙ-МУЖЕСТВЕННЫЙ,3.7,2.9,2.2,1.9,3.7,3.8,3.8,3.6,1.6,3.6,4.3,2.8,3.9,2.6,4.2,2.8,4.5,2.5,3.2,3.5,2.6,3.2,3.5,2.5,3.5,1.8,3.5,2.0,4.0,2.3,3.6,2.2,4.7,2.9,3.1,2.0,3.1,2.4,3.3,2.2,3.6,2.2,3.3,2.7,2.8,2.5
СВЕТЛЫЙ-ТЕМНЫЙ,2.2,1.9,2.5,2.0,2.2,3.6,3.8,2.5,2.3,1.9,3.2,2.6,3.9,2.8,3.3,2.9,3.2,2.2,3.8,2.5,2.8,2.6,3.6,3.2,3.1,2.0,3.3,2.6,3.1,2.8,4.0,3.3,3.8,2.9,2.5,2.4,4.0,3.6,4.0,3.7,4.4,3.5,3.5,3.3,4.3,3.8
АКТИВНЫЙ-ПАССИВНЫЙ,2.1,2.4,3.4,2.9,2.2,3.2,4.0,3.6,3.4,2.6,2.0,3.0,2.4,3.2,2.8,2.9,2.4,2.0,3.0,2.8,3.2,2.2,2.8,3.0,2.5,2.8,4.0,3.1,2.8,3.2,3.4,3.6,2.0,2.1,3.2,3.5,3.2,3.2,4.1,4.0,3.8,4.4,3.4,3.9,3.6,4.0
ПРОСТОЙ-СЛОЖНЫЙ,1.4,1.9,1.8,1.8,1.2,1.7,3.1,2.2,2.6,1.8,3.0,3.4,2.4,3.7,2.6,3.5,2.6,3.6,4.0,3.0,3.7,3.9,3.4,3.5,3.3,3.4,3.1,3.6,2.6,3.4,2.8,3.5,3.1,3.7,3.0,3.8,3.2,3.7,3.2,3.9,3.1,3.8,3.4,3.4,3.1,4.0
СИЛЬНЫЙ-СЛАБЫЙ,2.6,2.1,2.8,2.3,1.7,2.8,2.5,2.3,3.8,1.7,2.1,3.5,1.9,3.1,3.2,3.0,1.9,3.2,2.5,2.2,3.1,3.2,3.7,4.5,2.2,3.4,3.2,3.5,2.4,3.4,4.0,4.4,1.3,3.0,3.1,4.2,3.4,4.2,3.6,4.3,3.4,4.6,3.8,3.8,3.4,4.2
ГОРЯЧИЙ-ХОЛОДНЫЙ,3.2,3.0,2.9,3.2,3.7,3.6,4.0,3.6,2.8,3.0,3.7,2.9,2.4,2.5,3.5,2.4,3.6,2.3,2.3,3.6,2.5,2.6,3.4,2.2,3.6,2.7,3.8,2.9,3.4,2.3,3.0,2.6,4.0,2.7,3.3,3.1,2.8,2.3,3.2,2.4,3.4,2.4,3.6,1.8,2.8,1.8
БЫСТРЫЙ-МЕДЛЕННЫЙ,3.4,3.8,3.7,3.6,3.6,4.3,4.4,3.7,3.6,3.2,1.9,2.2,2.4,3.0,2.2,2.4,2.4,4.2,3.4,2.7,3.0,1.8,2.0,1.9,3.5,3.0,3.7,3.4,3.9,3.4,1.9,2.4,2.7,2.4,3.0,3.1,2.0,2.5,3.4,3.7,3.7,3.5,2.3,2.0,3.1,3.8
КРАСИВЫЙ-ОТТАЛКИВАЮЩИЙ,2.0,1.7,2.1,2.0,1.9,2.9,3.7,2.1,1.6,1.9,2.6,3.6,3.0,3.1,2.8,2.9,2.4,2.7,4.0,3.2,3.1,2.8,3.4,3.4,2.3,1.9,3.5,3.3,2.6,2.4,3.5,3.6,3.0,3.6,3.9,3.2,3.2,2.9,3.9,3.4,3.9,4.1,3.1,3.0,3.5,3.7
ГЛАДКИЙ-ШЕРОХОВАТЫЙ,1.6,2.4,2.5,2.0,1.5,1.8,2.5,2.2,2.4,2.2,3.2,3.2,3.5,3.0,3.6,3.2,3.4,3.0,4.5,4.0,3.0,3.4,4.2,3.9,2.6,2.2,2.8,2.6,2.8,2.8,4.0,3.5,4.0,4.0,3.6,3.5,3.8,3.8,4.4,3.8,4.2,3.8,3.9,4.6,4.1,4.4
ЛЕГКИЙ-ТЯЖЕЛЫЙ,2.3,2.4,2.6,2.0,2.5,2.3,3.5,2.7,2.1,2.1,2.6,2.5,3.3,2.6,3.0,2.9,3.3,2.8,4.0,3.2,2.6,2.5,3.0,2.6,3.2,2.7,3.8,3.2,3.6,2.6,3.0,2.9,4.1,3.3,2.4,2.1,3.2,2.9,3.7,2.8,3.3,3.1,3.1,3.3,3.4,3.4
ВЕСЕЛЫЙ-ГРУСТНЫЙ,2.7,2.5,2.7,2.5,2.9,4.0,3.7,3.0,2.5,2.5,2.9,2.1,2.5,2.7,2.9,2.5,2.9,2.1,2.7,2.4,2.7,2.6,3.4,2.5,3.0,2.1,3.6,2.7,3.1,3.0,3.9,3.4,2.6,2.4,2.9,3.1,3.6,3.3,3.8,3.2,3.4,3.4,3.7,2.9,3.6,3.4
БЕЗОПАСНЫЙ-СТРАШНЫЙ,2.6,2.2,2.1,2.1,2.8,3.6,3.5,2.2,2.0,2.1,3.2,2.3,3.3,2.6,3.2,2.3,2.8,2.8,4.8,3.6,2.6,2.4,3.8,3.0,2.5,1.7,2.4,2.2,2.8,2.2,3.8,2.4,4.6,3.4,3.2,2.8,3.4,3.2,4.4,3.2,4.1,3.8,3.3,3.4,4.2,4.3
ВЕЛИЧЕСТВЕННЫЙ-НИЗМЕННЫЙ,2.0,2.6,2.7,3.0,1.6,3.6,3.1,2.1,2.8,2.1,2.1,3.2,1.8,2.8,2.8,3.8,2.4,3.5,3.6,2.8,2.8,3.0,3.3,4.0,2.0,3.0,3.0,3.2,2.3,3.2,3.6,4.0,1.7,2.8,3.6,4.2,3.2,3.4,3.4,4.5,4.0,4.5,3.8,3.6,4.0,4.4
ЯРКИЙ-ТУСКЛЫЙ,2.0,3.6,2.5,2.6,1.8,3.7,3.6,2.5,2.5,1.6,2.0,2.3,2.7,2.7,2.5,2.3,2.1,2.2,2.9,2.5,2.7,2.4,4.0,3.8,2.4,2.3,3.6,3.2,2.7,3.0,4.1,1.4,2.1,1.8,3.8,3.8,3.8,3.9,4.4,4.3,4.1,4.3,3.6,3.3,4.5,3.9
ОКРУГЛЫЙ-УГЛОВАТЫЙ,1.4,2.2,2.5,2.2,1.4,2.6,2.9,2.0,2.0,2.0,3.4,3.0,2.9,3.0,4.0,3.6,3.5,3.2,3.4,3.5,3.0,3.2,4.4,3.8,3.1,2.1,3.1,2.8,3.1,3.0,3.8,3.5,4.0,4.0,3.1,3.0,4.1,3.5,3.6,3.2,3.9,3.2,3.9,3.8,3.5,3.6
РАДОСТНЫЙ-ПЕЧАЛЬНЫЙ,1.9,2.7,2.6,2.3,2.7,3.8,3.6,2.6,2.5,1.8,2.5,2.8,2.3,2.6,3.0,2.7,2.5,2.3,3.5,2.5,2.6,2.9,3.8,3.3,2.5,2.1,3.9,2.8,2.9,2.8,3.7,4.0,2.7,1.9,3.5,3.6,3.3,3.8,4.3,4.1,4.0,4.0,3.5,3.2,3.8,4.2
ГРОМКИЙ-ТИХИЙ,1.9,2.9,2.5,3.3,1.4,2.3,2.4,2.2,3.2,2.2,2.0,2.9,2.2,3.0,3.3,2.9,2.3,2.7,2.9,2.5,3.0,2.7,3.9,4.4,2.3,2.9,3.1,3.0,2.6,2.9,4.5,4.8,1.8,2.1,3.8,1.3,4.4,4.4,4.7,4.4,4.2,4.7,4.3,4.0,4.7,4.0
ДЛИННЫЙ-КОРОТКИЙ,1.8,2.5,2.2,2.5,1.7,1.9,2.2,2.2,2.6,3.0,4.8,3.9,3.8,3.9,3.9,3.9,3.5,4.3,3.0,2.9,3.9,4.1,4.4,4.4,3.4,3.3,3.3,4.0,3.3,3.8,4.4,4.6,2.5,3.5,3.7,3.6,4.4,4.3,3.8,3.9,3.8,4.0,4.0,4.1,3.3,2.7
ХРАБРЫЙ-ТРУСЛИВЫЙ,1.8,2.2,2.4,2.9,1.8,2.3,2.8,2.2,2.8,1.6,2.1,3.2,2.5,3.6,2.8,3.4,2.0,2.6,1.9,2.9,3.6,3.2,3.3,3.7,2.3,2.8,3.3,3.3,2.7,3.4,3.7,4.1,1.4,2.5,4.0,4.5,3.5,4.0,3.5,4.2,3.4,4.4,3.7,3.5,3.3,4.1
ДОБРЫЙ-ЗЛОЙ,2.0,2.7,2.2,2.4,2.7,3.3,2.7,2.6,2.2,2.4,3.3,2.7,2.8,2.7,3.8,3.0,3.1,1.4,4.1,3.7,2.7,3.3,3.2,3.0,3.3,1.9,2.7,1.9,3.4,2.1,3.3,2.2,4.0,3.3,3.9,3.1,3.4,2.7,3.8,3.2,3.5,3.1,3.6,3.3,3.1,3.3
МОГУЧИЙ-ХИЛЫЙ,1.8,2.3,2.6,3.9,1.7,2.9,2.5,2.6,3.4,2.0,1.6,3.4,1.8,3.1,2.4,3.3,2.2,3.4,2.3,2.9,3.1,3.0,3.8,4.0,2.1,3.6,2.2,3.7,2.4,3.6,3.5,4.3,1.5,2.5,3.5,4.3,3.3,4.2,3.8,3.9,3.4,4.5,3.6,3.6,2.6,4.0
ПОДВИЖНЫЙ-МЕДЛИТЕЛЬНЫЙ,2.9,3.3,3.3,3.4,2.7,4.0,3.9,3.5,3.2,3.0,2.0,2.3,2.6,2.7,2.2,2.6,2.2,2.3,3.2,3.1,2.7,1.9,2.0,2.3,3.4,3.4,4.1,3.7,3.3,3.2,2.7,2.5,2.0,2.1,3.5,3.0,2.5,2.7,3.9,4.0,3.7,3.7,2.5,2.5,3.5,3.5
